wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zsszczepionych;%_zaszczepionych_pe�n�_dawk�
4;kujawsko-pomorskie;412;rypiński;412011;Rypin;Włocławski;15999;8869;8598;55,4347;53,7409
14;mazowieckie;1405;grodziski;1405043;gm.m-w. Grodzisk Mazowiecki;;49948;27800;26842;55,6579;53,7399
24;śląskie;2413;tarnogórski;2413072;gm.w Świerklaniec;Katowicki;12505;6922;6720;55,3539;53,7385
2;dolnośląskie;223;wrocławski;223043;gm.m-w. Kąty Wrocławskie;Wrocławski;26032;14552;13967;55,9004;53,6532
22;pomorskie;2211;pucki;2211043;gm.m-w. Władysławowo;Gdański;15293;8545;8205;55,8752;53,652
22;pomorskie;2203;człuchowski;2203011;Człuchów;Słupski;13479;7458;7229;55,3305;53,6316
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;6898;6643;55,6874;53,6288
14;mazowieckie;1434;wołomiński;1434031;Ząbki;;38546;21549;20671;55,9046;53,6268
8;lubuskie;811;żarski;811011;Łęknica;Zielonogórski;2396;1321;1284;55,1336;53,5893
12;małopolskie;1203;chrzanowski;1203033;gm.m-w. Chrzanów;;46321;25493;24816;55,0355;53,574
12;małopolskie;1213;oświęcimski;1213062;gm.w Oświęcim;Bielski;18629;10406;9971;55,8591;53,5241
30;wielkopolskie;3003;gnieźnieński;3003011;Gniezno;;67570;37586;36162;55,6253;53,5178
24;śląskie;2401;będziński;2401052;gm.w Mierzęcice;Katowicki;7623;4224;4077;55,4113;53,4829
24;śląskie;2474;Siemianowice Śląskie;2474011;Siemianowice Śląskie;;66270;36574;35423;55,1894;53,4525
10;łódzkie;1014;sieradzki;1014011;Sieradz;;41390;22775;22101;55,0254;53,397
26;świętokrzyskie;2602;jędrzejowski;2602023;gm.m-w. Jędrzejów;Kielecki;27715;15354;14789;55,3996;53,361
4;kujawsko-pomorskie;402;brodnicki;402011;Brodnica;Toruński;28701;15814;15303;55,0991;53,3187
24;śląskie;2402;bielski;2402022;gm.w Bestwina;Katowicki;11950;6623;6370;55,4226;53,3054
22;pomorskie;2211;pucki;2211052;gm.w Kosakowo;Gdański;16419;9121;8748;55,5515;53,2797
24;śląskie;2461;Bielsko-Biała;2461011;Bielsko-Biała;;169756;93790;90444;55,2499;53,2788
26;świętokrzyskie;2661;Kielce;2661011;Kielce;;193415;106832;102985;55,2346;53,2456
2;dolnośląskie;223;wrocławski;223092;gm.w Żórawina;Wrocławski;11406;6287;6073;55,1201;53,2439
4;kujawsko-pomorskie;411;radziejowski;411022;gm.w Bytoń;Włocławski;3411;1942;1816;56,9335;53,2395
10;łódzkie;1005;łowicki;1005092;gm.w Nieborów;Skierniewicki;9357;5197;4978;55,5413;53,2008
2;dolnośląskie;208;kłodzki;208051;Polanica-Zdrój;Wałbrzyski;6228;3423;3304;54,9615;53,0507
22;pomorskie;2263;Słupsk;2263011;Słupsk;;89780;49216;47614;54,8184;53,0341
12;małopolskie;1212;olkuski;1212053;gm.m-w. Olkusz;;48206;26449;25556;54,8666;53,0141
4;kujawsko-pomorskie;407;inowrocławski;407063;gm.m-w. Kruszwica;Bydgoski;19012;10512;10078;55,2914;53,0086
28;warmińsko-mazurskie;2801;bartoszycki;2801011;Bartoszyce;Olsztyński;22984;12631;12182;54,9556;53,0021
12;małopolskie;1206;krakowski;1206113;gm.m-w. Skawina;;43751;24108;23188;55,1027;52,9999
30;wielkopolskie;3005;grodziski;3005012;gm.w Granowo;Poznański;5087;2830;2696;55,632;52,9978
30;wielkopolskie;3021;poznański;3021062;gm.w Kleszczewo;Poznański;9343;5303;4951;56,7591;52,9915
30;wielkopolskie;3016;obornicki;3016013;gm.m-w. Oborniki;;34185;18822;18115;55,0592;52,9911
10;łódzkie;1008;pabianicki;1008011;Konstantynów Łódzki;Łódzki;18335;10139;9712;55,2986;52,9697
24;śląskie;2413;tarnogórski;2413031;Radzionków;Katowicki;16903;9219;8952;54,5406;52,961
14;mazowieckie;1418;piaseczyński;1418063;gm.m-w. Tarczyn;Warszawski;11594;6372;6140;54,9595;52,9584
12;małopolskie;1206;krakowski;1206032;gm.w Iwanowice;Krakowski;9215;5050;4880;54,802;52,9571
28;warmińsko-mazurskie;2807;iławski;2807011;Iława;;33206;18204;17582;54,8214;52,9483
12;małopolskie;1212;olkuski;1212042;gm.w Klucze;Katowicki;14909;8179;7894;54,8595;52,9479
24;śląskie;2413;tarnogórski;2413041;Tarnowskie Góry;;61756;33727;32681;54,6133;52,9196
24;śląskie;2413;tarnogórski;2413062;gm.w Ożarowice;Katowicki;5806;3174;3071;54,6676;52,8936
30;wielkopolskie;3062;Konin;3062011;Konin;;72539;39714;38349;54,7485;52,8667
2;dolnośląskie;215;oławski;215011;Oława;;33087;18166;17472;54,9037;52,8062
22;pomorskie;2209;malborski;2209011;Malbork;;38101;20932;20104;54,9382;52,765
30;wielkopolskie;3011;kościański;3011023;gm.m-w. Czempiń;Poznański;11531;6362;6079;55,173;52,7188
32;zachodniopomorskie;3263;Świnoujście;3263011;Świnoujście;;40948;22586;21583;55,1578;52,7083
2;dolnośląskie;214;oleśnicki;214011;Oleśnica;;36979;20224;19490;54,6905;52,7056
30;wielkopolskie;3030;wrzesiński;3030033;gm.m-w. Nekla;Poznański;7617;4184;4013;54,9298;52,6848
30;wielkopolskie;3019;pilski;3019011;Piła;;72527;39801;38152;54,8775;52,6039
14;mazowieckie;1402;ciechanowski;1402011;Ciechanów;;43883;24285;23078;55,3403;52,5898
24;śląskie;2405;gliwicki;2405011;Knurów;;37801;20495;19874;54,2181;52,5753
10;łódzkie;1008;pabianicki;1008021;Pabianice;;63945;34851;33609;54,5015;52,5592
24;śląskie;2464;Częstochowa;2464011;Częstochowa;;217530;118508;114327;54,4789;52,5569
12;małopolskie;1213;oświęcimski;1213033;gm.m-w. Chełmek;Bielski;12837;6956;6745;54,1871;52,5434
8;lubuskie;807;sulęciński;807043;gm.m-w. Sulęcin;Gorzowski;15633;8494;8211;54,3338;52,5235
10;łódzkie;1008;pabianicki;1008052;gm.w Ksawerów;Łódzki;7661;4190;4023;54,6926;52,5127
8;lubuskie;809;zielonogórski;809072;gm.w Świdnica;Zielonogórski;6685;3649;3510;54,5849;52,5056
24;śląskie;2416;zawierciański;2416021;Zawiercie;;48703;26545;25567;54,5038;52,4957
24;śląskie;2472;Ruda Śląska;2472011;Ruda Śląska;;136423;74180;71606;54,375;52,4882
24;śląskie;2471;Piekary Śląskie;2471011;Piekary Śląskie;;54702;29737;28707;54,3618;52,4789
2;dolnośląskie;220;trzebnicki;220013;gm.m-w. Oborniki Śląskie;Wrocławski;20287;11012;10644;54,2811;52,4671
32;zachodniopomorskie;3213;sławieński;3213011;Darłowo;Koszaliński;13574;7393;7119;54,4644;52,4459
24;śląskie;2404;częstochowski;2404042;gm.w Kamienica Polska;Częstochowski;5514;2978;2890;54,008;52,412
26;świętokrzyskie;2609;sandomierski;2609011;Sandomierz;Tarnobrzeski;22997;12424;12050;54,0244;52,3981
32;zachodniopomorskie;3202;choszczeński;3202012;gm.w Bierzwnik;Gorzowski;4666;2517;2443;53,9434;52,3575
22;pomorskie;2204;gdański;2204042;gm.w Pruszcz Gdański;;32184;17513;16850;54,4152;52,3552
30;wielkopolskie;3028;wągrowiecki;3028011;Wągrowiec;Pilski;25607;14035;13401;54,8092;52,3333
4;kujawsko-pomorskie;404;chełmiński;404011;Chełmno;Toruński;19205;10443;10049;54,3765;52,3249
32;zachodniopomorskie;3207;kamieński;3207043;gm.m-w. Międzyzdroje;Szczeciński;6398;3505;3347;54,7827;52,3132
24;śląskie;2404;częstochowski;2404162;gm.w Starcza;Częstochowski;2853;1521;1492;53,3123;52,2958
22;pomorskie;2215;wejherowski;2215021;Rumia;;49536;27143;25901;54,7945;52,2872
8;lubuskie;805;słubicki;805053;gm.m-w. Słubice;Gorzowski;20145;10941;10523;54,3112;52,2363
30;wielkopolskie;3004;gostyński;3004063;gm.m-w. Pogorzela;Leszczyński;4907;2651;2563;54,0249;52,2315
14;mazowieckie;1417;otwocki;1417072;gm.w Sobienie-Jeziory;Siedlecki;6356;3448;3319;54,248;52,2184
28;warmińsko-mazurskie;2809;lidzbarski;2809011;Lidzbark Warmiński;Olsztyński;15489;8422;8088;54,3741;52,2177
14;mazowieckie;1408;legionowski;1408052;gm.w Wieliszew;Warszawski;16053;8719;8382;54,3138;52,2145
30;wielkopolskie;3022;rawicki;3022053;gm.m-w. Rawicz;;30299;16428;15807;54,2196;52,17
24;śląskie;2402;bielski;2402072;gm.w Kozy;Bielski;13091;7051;6826;53,8614;52,1427
32;zachodniopomorskie;3261;Koszalin;3261011;Koszalin;;106235;57352;55392;53,986;52,141
30;wielkopolskie;3027;turecki;3027011;Turek;Koniński;26441;14347;13780;54,2604;52,116
4;kujawsko-pomorskie;401;aleksandrowski;401062;gm.w Koneck;Włocławski;3103;1677;1617;54,0445;52,1109
30;wielkopolskie;3030;wrzesiński;3030053;gm.m-w. Września;;47425;25696;24698;54,1824;52,078
14;mazowieckie;1428;sochaczewski;1428011;Sochaczew;;35891;19527;18691;54,4064;52,0771
2;dolnośląskie;220;trzebnicki;220042;gm.w Wisznia Mała;Wrocławski;10624;5735;5531;53,9816;52,0614
30;wielkopolskie;3023;słupecki;3023042;gm.w Ostrowite;Koniński;5054;2710;2629;53,6209;52,0182
2;dolnośląskie;261;Jelenia Góra;261011;Jelenia Góra;;78335;42403;40734;54,1303;51,9997
30;wielkopolskie;3063;Leszno;3063011;Leszno;;62854;33911;32680;53,952;51,9935
14;mazowieckie;1428;sochaczewski;1428082;gm.w Teresin;Skierniewicki;11542;6285;6001;54,4533;51,9927
6;lubelskie;614;puławski;614011;Puławy;;46965;25365;24417;54,0083;51,9898
24;śląskie;2402;bielski;2402062;gm.w Jaworze;Bielski;7443;3999;3868;53,7283;51,9683
14;mazowieckie;1419;płocki;1419122;gm.w Słupno;Płocki;8129;4392;4223;54,0288;51,9498
10;łódzkie;1017;wieluński;1017093;gm.m-w. Wieluń;;31137;16775;16175;53,8748;51,9478
6;lubelskie;611;łukowski;611021;Stoczek Łukowski;Siedlecki;2480;1346;1287;54,2742;51,8952
22;pomorskie;2214;tczewski;2214011;Tczew;;59430;32007;30840;53,8566;51,893
12;małopolskie;1206;krakowski;1206052;gm.w Kocmyrzów-Luborzyca;Krakowski;16020;8714;8313;54,3945;51,8914
8;lubuskie;810;żagański;810021;Żagań;Zielonogórski;25265;13490;13109;53,394;51,886
32;zachodniopomorskie;3209;koszaliński;3209053;gm.m-w. Mielno;Koszaliński;4881;2637;2531;54,0258;51,8541
24;śląskie;2403;cieszyński;2403011;Cieszyn;;33981;18202;17617;53,5652;51,8437
30;wielkopolskie;3019;pilski;3019073;gm.m-w. Ujście;Pilski;7946;4295;4118;54,0524;51,8248
4;kujawsko-pomorskie;417;wąbrzeski;417011;Wąbrzeźno;Toruński;13400;7166;6943;53,4776;51,8134
26;świętokrzyskie;2602;jędrzejowski;2602063;gm.m-w. Sędziszów;Kielecki;12352;6645;6397;53,797;51,7892
2;dolnośląskie;219;świdnicki;219011;Świdnica;;56222;30148;29108;53,6231;51,7733
12;małopolskie;1208;miechowski;1208053;gm.m-w. Miechów;Kielecki;19494;10555;10091;54,1449;51,7646
30;wielkopolskie;3017;ostrowski;3017011;Ostrów Wielkopolski;;71560;38302;37013;53,5243;51,723
12;małopolskie;1208;miechowski;1208072;gm.w Słaboszów;Kielecki;3487;1880;1803;53,9145;51,7063
4;kujawsko-pomorskie;404;chełmiński;404032;gm.w Kijewo Królewskie;Toruński;4521;2420;2337;53,528;51,6921
12;małopolskie;1219;wielicki;1219053;gm.m-w. Wieliczka;;61233;32901;31646;53,7308;51,6813
24;śląskie;2414;bieruńsko-lędziński;2414021;Imielin;Katowicki;9269;4983;4789;53,7598;51,6668
8;lubuskie;806;strzelecko-drezdenecki;806043;gm.m-w. Strzelce Krajeńskie;Gorzowski;16809;8925;8684;53,0966;51,6628
32;zachodniopomorskie;3202;choszczeński;3202023;gm.m-w. Choszczno;Gorzowski;21529;11536;11119;53,5835;51,6466
14;mazowieckie;1406;grójecki;1406053;gm.m-w. Grójec;Radomski;25882;14039;13367;54,2423;51,6459
32;zachodniopomorskie;3208;kołobrzeski;3208022;gm.w Dygowo;Koszaliński;5609;3004;2896;53,5568;51,6313
12;małopolskie;1213;oświęcimski;1213093;gm.m-w. Zator;Bielski;9231;4988;4766;54,0353;51,6304
