wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;&_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
26;świętokrzyskie;2661;Kielce;2661011;Kielce;;193415;108532;105398;56,1135;54,4932
10;łódzkie;1008;pabianicki;1008011;Konstantynów Łódzki;Łódzki;18335;10306;9989;56,2094;54,4805
2;dolnośląskie;208;kłodzki;208051;Polanica-Zdrój;Wałbrzyski;6228;3475;3393;55,7964;54,4798
22;pomorskie;2263;Słupsk;2263011;Słupsk;;89780;50249;48907;55,969;54,4743
10;łódzkie;1014;sieradzki;1014011;Sieradz;;41390;23097;22541;55,8033;54,46
14;mazowieckie;1418;piaseczyński;1418063;gm.m-w. Tarczyn;Warszawski;11594;6513;6309;56,1756;54,4161
28;warmińsko-mazurskie;2807;iławski;2807011;Iława;;33206;18514;18068;55,755;54,4119
22;pomorskie;2209;malborski;2209011;Malbork;;38101;21413;20729;56,2006;54,4054
28;warmińsko-mazurskie;2801;bartoszycki;2801011;Bartoszyce;Olsztyński;22984;12863;12500;55,965;54,3857
8;lubuskie;809;zielonogórski;809072;gm.w Świdnica;Zielonogórski;6685;3737;3635;55,9013;54,3755
12;małopolskie;1212;olkuski;1212053;gm.m-w. Olkusz;;48206;26990;26208;55,9889;54,3667
30;wielkopolskie;3062;Konin;3062011;Konin;;72539;40513;39377;55,85;54,2839
32;zachodniopomorskie;3207;kamieński;3207043;gm.m-w. Międzyzdroje;Szczeciński;6398;3603;3472;56,3145;54,267
12;małopolskie;1206;krakowski;1206032;gm.w Iwanowice;Krakowski;9215;5126;5000;55,6267;54,2594
8;lubuskie;807;sulęciński;807043;gm.m-w. Sulęcin;Gorzowski;15633;8685;8480;55,5556;54,2442
32;zachodniopomorskie;3263;Świnoujście;3263011;Świnoujście;;40948;23041;22193;56,2689;54,198
2;dolnośląskie;214;oleśnicki;214011;Oleśnica;;36979;20604;20038;55,7181;54,1875
24;śląskie;2413;tarnogórski;2413031;Radzionków;Katowicki;16903;9398;9159;55,5996;54,1856
30;wielkopolskie;3028;wągrowiecki;3028011;Wągrowiec;Pilski;25607;14368;13869;56,1097;54,161
12;małopolskie;1212;olkuski;1212042;gm.w Klucze;Katowicki;14909;8297;8072;55,6509;54,1418
24;śląskie;2413;tarnogórski;2413062;gm.w Ożarowice;Katowicki;5806;3236;3143;55,7354;54,1337
