wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaczepionych;%_zaszczepionych_pe�n�_dawk�
10;łódzkie;1005;łowicki;1005092;gm.w Nieborów;Skierniewicki;9357;5269;5082;56,3108;54,3123
30;wielkopolskie;3011;kościański;3011023;gm.m-w. Czempiń;Poznański;11531;6471;6262;56,1183;54,3058
4;kujawsko-pomorskie;402;brodnicki;402011;Brodnica;Toruński;28701;16029;15570;55,8482;54,249
30;wielkopolskie;3005;grodziski;3005012;gm.w Granowo;Poznański;5087;2857;2759;56,1628;54,2363
2;dolnośląskie;223;wrocławski;223092;gm.w Żórawina;Wrocławski;11406;6373;6183;55,8741;54,2083
26;świętokrzyskie;2661;Kielce;2661011;Kielce;;193415;108057;104745;55,868;54,1556
10;łódzkie;1014;sieradzki;1014011;Sieradz;;41390;23004;22404;55,5786;54,129
10;łódzkie;1008;pabianicki;1008011;Konstantynów Łódzki;Łódzki;18335;10259;9922;55,9531;54,1151
30;wielkopolskie;3021;poznański;3021062;gm.w Kleszczewo;Poznański;9343;5376;5055;57,5404;54,1047
12;małopolskie;1206;krakowski;1206113;gm.m-w. Skawina;;43751;24476;23666;55,9439;54,0925
2;dolnośląskie;208;kłodzki;208051;Polanica-Zdrój;Wałbrzyski;6228;3459;3368;55,5395;54,0784
30;wielkopolskie;3016;obornicki;3016013;gm.m-w. Oborniki;;34185;19084;18484;55,8257;54,0705
22;pomorskie;2263;Słupsk;2263011;Słupsk;;89780;49930;48533;55,6137;54,0577
22;pomorskie;2209;malborski;2209011;Malbork;;38101;21299;20585;55,9014;54,0275
28;warmińsko-mazurskie;2807;iławski;2807011;Iława;;33206;18404;17934;55,4237;54,0083
28;warmińsko-mazurskie;2801;bartoszycki;2801011;Bartoszyce;Olsztyński;22984;12798;12408;55,6822;53,9854
14;mazowieckie;1418;piaseczyński;1418063;gm.m-w. Tarczyn;Warszawski;11594;6451;6257;55,6408;53,9676
12;małopolskie;1212;olkuski;1212053;gm.m-w. Olkusz;;48206;26877;26000;55,7545;53,9352
30;wielkopolskie;3030;wrzesiński;3030033;gm.m-w. Nekla;Poznański;7617;4278;4106;56,1638;53,9057
30;wielkopolskie;3062;Konin;3062011;Konin;;72539;40305;39100;55,5632;53,902
12;małopolskie;1206;krakowski;1206032;gm.w Iwanowice;Krakowski;9215;5112;4967;55,4748;53,9012
24;śląskie;2413;tarnogórski;2413031;Radzionków;Katowicki;16903;9353;9108;55,3334;53,8839
8;lubuskie;809;zielonogórski;809072;gm.w Świdnica;Zielonogórski;6685;3709;3601;55,4824;53,8669
30;wielkopolskie;3028;wągrowiecki;3028011;Wągrowiec;Pilski;25607;14286;13781;55,7894;53,8173
32;zachodniopomorskie;3263;Świnoujście;3263011;Świnoujście;;40948;22925;22033;55,9856;53,8073
8;lubuskie;807;sulęciński;807043;gm.m-w. Sulęcin;Gorzowski;15633;8628;8410;55,1909;53,7965
24;śląskie;2413;tarnogórski;2413041;Tarnowskie Góry;;61756;34084;33220;55,1914;53,7923
24;śląskie;2413;tarnogórski;2413062;gm.w Ożarowice;Katowicki;5806;3225;3123;55,546;53,7892
12;małopolskie;1212;olkuski;1212042;gm.w Klucze;Katowicki;14909;8264;8018;55,4296;53,7796
2;dolnośląskie;215;oławski;215011;Oława;;33087;18406;17788;55,6291;53,7613
2;dolnośląskie;214;oleśnicki;214011;Oleśnica;;36979;20504;19875;55,4477;53,7467
32;zachodniopomorskie;3207;kamieński;3207043;gm.m-w. Międzyzdroje;Szczeciński;6398;3581;3432;55,9706;53,6418
30;wielkopolskie;3019;pilski;3019011;Piła;;72527;40360;38874;55,6482;53,5993
24;śląskie;2416;zawierciański;2416021;Zawiercie;;48703;26951;26104;55,3375;53,5983
30;wielkopolskie;3022;rawicki;3022053;gm.m-w. Rawicz;;30299;16680;16227;55,0513;53,5562
32;zachodniopomorskie;3213;sławieński;3213011;Darłowo;Koszaliński;13574;7518;7267;55,3853;53,5362
22;pomorskie;2204;gdański;2204042;gm.w Pruszcz Gdański;;32184;17791;17223;55,279;53,5142
24;śląskie;2471;Piekary Śląskie;2471011;Piekary Śląskie;;54702;30152;29271;55,1205;53,5099
12;małopolskie;1213;oświęcimski;1213033;gm.m-w. Chełmek;Bielski;12837;7046;6869;54,8882;53,5094
