wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14399;13990;60,7809;59,0545
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2341;2270;60,7736;58,9304
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13531;13053;61,077;58,9194
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7353;7130;60,6583;58,8187
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11757;11339;60,8351;58,6723
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8758;8421;61,0186;58,6707
24;śląskie;2469;Katowice;2469011;Katowice;;290553;175434;170274;60,3793;58,6034
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9174;8990;59,7772;58,5782
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17647;17134;60,1712;58,422
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6584;6360;60,3538;58,3005
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;403766;390742;60,0677;58,1301
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11756;11350;59,9643;57,8934
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6232;6096;59,1608;57,8698
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11981;11525;60,0762;57,7897
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;18039;17442;59,7555;57,7779
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11974;11602;59,584;57,7329
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25812;24974;59,568;57,6341
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9818;9482;59,5825;57,5434
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11822;11473;59,2552;57,5059
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12369;11926;59,6355;57,4996
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7804;7568;59,2919;57,4989
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8882;8528;59,8477;57,4624
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15625;15027;59,7491;57,4624
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18688;18080;59,376;57,4442
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7298;7045;59,4881;57,4258
