wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;&_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
24;śląskie;2404;częstochowski;2404042;gm.w Kamienica Polska;Częstochowski;5514;3063;2997;55,5495;54,3526
8;lubuskie;810;żagański;810021;Żagań;Zielonogórski;25265;14041;13721;55,5749;54,3083
24;śląskie;2402;bielski;2402043;gm.m-w. Czechowice-Dziedzice;;45490;25262;24699;55,5331;54,2954
24;śląskie;2414;bieruńsko-lędziński;2414021;Imielin;Katowicki;9269;5156;5032;55,6263;54,2885
26;świętokrzyskie;2609;sandomierski;2609011;Sandomierz;Tarnobrzeski;22997;12769;12478;55,5246;54,2593
8;lubuskie;861;Gorzów Wielkopolski;861011;Gorzów Wielkopolski;;122589;68862;66465;56,1731;54,2178
4;kujawsko-pomorskie;417;wąbrzeski;417011;Wąbrzeźno;Toruński;13400;7438;7262;55,5075;54,194
24;śląskie;2404;częstochowski;2404162;gm.w Starcza;Częstochowski;2853;1562;1546;54,7494;54,1886
24;śląskie;2401;będziński;2401081;Sławków;Katowicki;6935;3883;3757;55,9913;54,1745
30;wielkopolskie;3015;nowotomyski;3015043;gm.m-w. Nowy Tomyśl;Poznański;27194;15269;14732;56,1484;54,1737
26;świętokrzyskie;2602;jędrzejowski;2602063;gm.m-w. Sędziszów;Kielecki;12352;6867;6691;55,5942;54,1694
12;małopolskie;1208;miechowski;1208072;gm.w Słaboszów;Kielecki;3487;1938;1888;55,5779;54,144
32;zachodniopomorskie;3261;Koszalin;3261011;Koszalin;;106235;58967;57495;55,5062;54,1206
14;mazowieckie;1434;wołomiński;1434021;Marki;;36816;20553;19913;55,8263;54,0879
30;wielkopolskie;3025;średzki;3025052;gm.w Zaniemyśl;Poznański;6948;3856;3758;55,498;54,0875
2;dolnośląskie;261;Jelenia Góra;261011;Jelenia Góra;;78335;43608;42369;55,6686;54,0869
12;małopolskie;1208;miechowski;1208053;gm.m-w. Miechów;Kielecki;19494;10875;10543;55,7864;54,0833
26;świętokrzyskie;2602;jędrzejowski;2602093;gm.m-w. Wodzisław;Kielecki;6893;3862;3727;56,0279;54,0693
12;małopolskie;1213;oświęcimski;1213093;gm.m-w. Zator;Bielski;9231;5136;4990;55,6386;54,057
2;dolnośląskie;220;trzebnicki;220042;gm.w Wisznia Mała;Wrocławski;10624;5892;5741;55,4593;54,038
8;lubuskie;803;międzyrzecki;803023;gm.m-w. Międzyrzecz;Gorzowski;24657;13779;13324;55,8827;54,0374
12;małopolskie;1219;wielicki;1219053;gm.m-w. Wieliczka;;61233;33905;33083;55,3705;54,0281
14;mazowieckie;1420;płoński;1420011;Płońsk;Ciechanowski;21924;12150;11840;55,4187;54,0047
