data,teryt,powiat,ludnosc,zaszczepieni,%_zaszczepieni
2021-08-07,2201,bytowski,79114,33194,41.957175721111305
2021-08-07,2202,chojnicki,97661,44665,45.73473546246711
2021-08-07,2203,człuchowski,55835,25476,45.62729470762067
2021-08-07,2204,gdański,120327,62709,52.115485302550546
2021-08-07,2205,kartuski,141892,59557,41.97347278211598
2021-08-07,2206,kościerski,72923,32645,44.76639743290868
2021-08-07,2207,kwidzyński,82963,34860,42.01873124163784
2021-08-07,2208,lęborski,66083,29989,45.38080898264304
2021-08-07,2209,malborski,63204,30999,49.04594645908487
2021-08-07,2210,nowodworski,35438,16514,46.599695242395164
2021-08-07,2211,pucki,87568,43545,49.727069249040746
2021-08-07,2212,słupski,98832,44149,44.67075441152663
2021-08-07,2213,starogardzki,128210,54228,42.29623274315576
2021-08-07,2214,tczewski,115220,55598,48.253775386217676
2021-08-07,2215,wejherowski,219457,101038,46.039998724123635
2021-08-07,2216,sztumski,41104,19056,46.36045153756325
2021-08-07,2261,Gdańsk,470805,292288,62.082603200900586
2021-08-07,2262,Gdynia,244969,146429,59.774502079855004
2021-08-07,2263,Słupsk,89780,47975,53.436177322343504
2021-08-07,2264,Sopot,35286,21084,59.7517429008672
2021-08-07,2401,będziński,147259,81595,55.40917702822917
2021-08-07,2402,bielski,166348,84121,50.56928847957294
2021-08-07,2403,cieszyński,177536,81030,45.64144736842105
2021-08-07,2404,częstochowski,134106,63321,47.217126750480965
2021-08-07,2405,gliwicki,115416,55811,48.35638039786511
2021-08-07,2406,kłobucki,84330,38896,46.12356219613423
2021-08-07,2407,lubliniecki,76109,31977,42.01474201474201
2021-08-07,2408,mikołowski,99202,51034,51.44452732807806
2021-08-07,2409,myszkowski,70486,33146,47.0249411230599
2021-08-07,2410,pszczyński,111814,53124,47.511045128517
2021-08-07,2411,raciborski,107410,45141,42.02681314588958
2021-08-07,2412,rybnicki,78166,36479,46.668628303866136
2021-08-07,2413,tarnogórski,140780,71692,50.9248472794431
2021-08-07,2414,bieruńsko-lędziński,59823,29485,49.28706350400348
2021-08-07,2415,wodzisławski,156579,69984,44.69564884179871
2021-08-07,2416,zawierciański,116672,59620,51.10052111903456
2021-08-07,2417,żywiecki,152199,70366,46.23289246315679
2021-08-07,2461,Bielsko-Biała,169756,91206,53.7277032917835
2021-08-07,2462,Bytom,163255,77844,47.68245995528468
2021-08-07,2463,Chorzów,106846,54408,50.92188757651199
2021-08-07,2464,Częstochowa,217530,115382,53.04187928101871
2021-08-07,2465,Dąbrowa Górnicza,118285,65017,54.96639472460583
2021-08-07,2466,Gliwice,177049,96121,54.290620110816775
2021-08-07,2467,Jastrzębie-Zdrój,88038,40399,45.888139212612735
2021-08-07,2468,Jaworzno,90368,45406,50.24566218130312
2021-08-07,2469,Katowice,290553,169935,58.48674768458767
2021-08-07,2470,Mysłowice,74559,38641,51.82607062862967
2021-08-07,2471,Piekary Śląskie,54702,28892,52.817081642353116
2021-08-07,2472,Ruda Śląska,136423,72293,52.991797570790844
2021-08-07,2473,Rybnik,137128,65306,47.62411761274138
2021-08-07,2474,Siemianowice Śląskie,66270,35685,53.84789497510185
2021-08-07,2475,Sosnowiec,197586,110960,56.157824947111635
2021-08-07,2476,Świętochłowice,49108,22747,46.32035513561945
2021-08-07,2477,Tychy,126871,69105,54.468712314082815
2021-08-07,2478,Zabrze,170924,77712,45.46582106667291
2021-08-07,2479,Żory,62844,29552,47.024377824454206
2021-08-07,2601,buski,71125,32965,46.34797891036907
2021-08-07,2602,jędrzejowski,84908,42962,50.59829462477033
2021-08-07,2603,kazimierski,33340,14605,43.80623875224955
2021-08-07,2604,kielecki,210992,87010,41.238530370819745
2021-08-07,2605,konecki,79072,34867,44.09525495750708
2021-08-07,2606,opatowski,51525,21791,42.29209121785541
2021-08-07,2607,ostrowiecki,107711,49564,46.01572727019524
2021-08-07,2608,pińczowski,38487,19024,49.42967755345961
2021-08-07,2609,sandomierski,76346,36102,47.28734969743012
2021-08-07,2610,skarżyski,73163,35215,48.13225264136244
2021-08-07,2611,starachowicki,88549,39971,45.13997899468091
2021-08-07,2612,staszowski,71250,31724,44.524912280701756
2021-08-07,2613,włoszczowski,44743,20393,45.578079252620526
2021-08-07,2661,Kielce,193415,104131,53.838120104438644
2021-08-07,2801,bartoszycki,56562,27269,48.210812913263325
2021-08-07,2802,braniewski,40776,18519,45.41642142436728
2021-08-07,2803,działdowski,64768,31136,48.073122529644266
2021-08-07,2804,elbląski,56986,26029,45.67613097953883
2021-08-07,2805,ełcki,91395,33101,36.21751736965917
2021-08-07,2806,giżycki,56227,26511,47.14994575559784
2021-08-07,2807,iławski,92644,42552,45.930659297957774
2021-08-07,2808,kętrzyński,61772,27348,44.27248591594897
2021-08-07,2809,lidzbarski,40852,17982,44.017428767257414
2021-08-07,2810,mrągowski,49439,20357,41.17599466008617
2021-08-07,2811,nidzicki,32638,13922,42.655799987744345
2021-08-07,2812,nowomiejski,43721,19087,43.656366505798125
2021-08-07,2813,olecki,33993,13397,39.41105521725061
2021-08-07,2814,olsztyński,127544,58494,45.86182023458571
2021-08-07,2815,ostródzki,103492,46116,44.55996598770919
2021-08-07,2816,piski,55833,21584,38.65814124263429
2021-08-07,2817,szczycieński,69089,29619,42.87078985077219
2021-08-07,2818,gołdapski,26489,11249,42.46668428404243
2021-08-07,2819,węgorzewski,22444,11066,49.304936731420426
2021-08-07,2861,Elbląg,118582,60931,51.383009225683494
2021-08-07,2862,Olsztyn,171249,93766,54.75418834562538
2021-08-07,3001,chodzieski,46824,24045,51.35187083546899
2021-08-07,3002,czarnkowsko-trzcianecki,86590,42017,48.5240789929553
2021-08-07,3003,gnieźnieński,145068,72880,50.23850883723495
2021-08-07,3004,gostyński,75732,33397,44.09892779802461
2021-08-07,3005,grodziski,51929,25842,49.7641009840359
2021-08-07,3006,jarociński,71425,35296,49.41687084354218
2021-08-07,3007,kaliski,82911,33881,40.864300273787556
2021-08-07,3008,kępiński,56298,27064,48.07275569291982
2021-08-07,3009,kolski,86108,36430,42.30733497468296
2021-08-07,3010,koniński,129904,59620,45.89543047173297
2021-08-07,3011,kościański,78866,41048,52.04777724241117
2021-08-07,3012,krotoszyński,76998,34944,45.38299696096003
2021-08-07,3013,leszczyński,57911,25206,43.52540968037161
2021-08-07,3014,międzychodzki,36633,18749,51.18062948707449
2021-08-07,3015,nowotomyski,75576,37212,49.2378532867577
2021-08-07,3016,obornicki,59821,30672,51.27296434362515
2021-08-07,3017,ostrowski,161357,74600,46.2328873243801
2021-08-07,3018,ostrzeszowski,55265,23597,42.697910069664346
2021-08-07,3019,pilski,135477,67484,49.812145234984534
2021-08-07,3020,pleszewski,62763,29903,47.64431273202365
2021-08-07,3021,poznański,406590,237129,58.32140485501365
2021-08-07,3022,rawicki,60188,29756,49.438426264371635
2021-08-07,3023,słupecki,58959,29209,49.54120660119744
2021-08-07,3024,szamotulski,91745,51543,56.18071829527494
2021-08-07,3025,średzki,59149,31275,52.874942940709055
2021-08-07,3026,śremski,61492,29522,48.00949717036362
2021-08-07,3027,turecki,83599,37001,44.260098805009626
2021-08-07,3028,wągrowiecki,70096,33817,48.243837023510615
2021-08-07,3029,wolsztyński,57431,26903,46.844038933676934
2021-08-07,3030,wrzesiński,78037,40149,51.44867178389738
2021-08-07,3031,złotowski,69161,30268,43.76454938476888
2021-08-07,3061,Kalisz,99106,50115,50.56706960224406
2021-08-07,3062,Konin,72539,38545,53.136933235914476
2021-08-07,3063,Leszno,62854,32854,52.270340789766756
2021-08-07,3064,Poznań,532048,348679,65.53525245842481
2021-08-07,3201,białogardzki,47304,20135,42.56511077287333
2021-08-07,3202,choszczeński,47970,23408,48.79716489472587
2021-08-07,3203,drawski,56482,25629,45.3755178640983
2021-08-07,3204,goleniowski,82310,38671,46.98214068764427
2021-08-07,3205,gryficki,59844,28523,47.66225519684513
2021-08-07,3206,gryfiński,81289,39251,48.285745918882014
2021-08-07,3207,kamieński,46692,23112,49.498843484965306
2021-08-07,3208,kołobrzeski,79300,41414,52.22446406052963
2021-08-07,3209,koszaliński,66505,30269,45.51387113750846
2021-08-07,3210,myśliborski,65373,27826,42.564973307022775
2021-08-07,3211,policki,81584,42029,51.51622867228869
2021-08-07,3212,pyrzycki,39202,17327,44.19927554716596
2021-08-07,3213,sławieński,55777,25454,45.635297703354425
2021-08-07,3214,stargardzki,120132,58185,48.43422235540905
2021-08-07,3215,szczecinecki,77258,36925,47.7944031686039
2021-08-07,3216,świdwiński,46394,21564,46.480148295038155
2021-08-07,3217,wałecki,52707,24838,47.12467034739219
2021-08-07,3218,łobeski,36486,16352,44.817190155127996
2021-08-07,3261,Koszalin,106235,55941,52.65778698169154
2021-08-07,3262,Szczecin,398255,221553,55.63093997564374
2021-08-07,3263,Świnoujście,40948,21843,53.34326462830907
2021-08-08,0201,bolesławiecki,89762,38482,42.87114814732292
2021-08-08,0202,dzierżoniowski,99935,43179,43.20708460499325
2021-08-08,0203,głogowski,88447,44122,49.885242009338924
2021-08-08,0204,górowski,34552,14631,42.34487149803195
2021-08-08,0205,jaworski,49734,22481,45.2024771785901
2021-08-08,0206,karkonoski,63333,28966,45.73603018963258
2021-08-08,0207,kamiennogórski,42824,21193,49.48860452082944
2021-08-08,0208,kłodzki,156283,70788,45.29475374800842
2021-08-08,0209,legnicki,55110,25185,45.69951007076756
2021-08-08,0210,lubański,53852,24952,46.334397979647925
2021-08-08,0211,lubiński,105896,51563,48.69211301654454
2021-08-08,0212,lwówecki,45599,20220,44.343077699072346
2021-08-08,0213,milicki,36800,17474,47.483695652173914
2021-08-08,0214,oleśnicki,107268,51612,48.115001678040045
2021-08-08,0215,oławski,76733,38683,50.41246921142142
2021-08-08,0216,polkowicki,62997,27036,42.91632934901662
2021-08-08,0217,strzeliński,43221,20798,48.12012679021772
2021-08-08,0218,średzki,55508,26313,47.40397780500108
2021-08-08,0219,świdnicki,156015,74742,47.90693202576675
2021-08-08,0220,trzebnicki,85226,42607,49.99295989486776
2021-08-08,0221,wałbrzyski,55107,26027,47.22993449108099
2021-08-08,0222,wołowski,46623,21516,46.14889646740879
2021-08-08,0223,wrocławski,156322,85569,54.7389362981538
2021-08-08,0224,ząbkowicki,64080,28380,44.28838951310862
2021-08-08,0225,zgorzelecki,88386,38713,43.79992306473876
2021-08-08,0226,złotoryjski,43038,20512,47.66020725870162
2021-08-08,0261,Jelenia Góra,78335,41187,52.57803025467543
2021-08-08,0262,Legnica,98436,48517,49.28786216424885
2021-08-08,0264,Wrocław,641928,410959,64.01948505128301
2021-08-08,0265,Wałbrzych,109971,55671,50.62334615489538
2021-08-08,0401,aleksandrowski,54891,28106,51.203293800440875
2021-08-08,0402,brodnicki,79023,37222,47.10274223960113
2021-08-08,0403,bydgoski,120432,63044,52.348213099508435
2021-08-08,0404,chełmiński,51657,24956,48.31097431132277
2021-08-08,0405,golubsko-dobrzyński,44855,21282,47.44621558354699
2021-08-08,0406,grudziądzki,40305,17871,44.33941198362486
2021-08-08,0407,inowrocławski,158496,82792,52.23601857460125
2021-08-08,0408,lipnowski,65450,28439,43.45148968678381
2021-08-08,0409,mogileński,45482,20839,45.8181258519854
2021-08-08,0410,nakielski,86119,41875,48.624577619340684
2021-08-08,0411,radziejowski,40025,20798,51.962523422860706
2021-08-08,0412,rypiński,43390,20775,47.87969578243835
2021-08-08,0413,sępoleński,40826,19532,47.84206143144075
2021-08-08,0414,świecki,98703,45224,45.81826286941633
2021-08-08,0415,toruński,109565,53310,48.65604892073199
2021-08-08,0416,tucholski,48322,22025,45.57965316005132
2021-08-08,0417,wąbrzeski,34040,15657,45.99588719153937
2021-08-08,0418,włocławski,85646,39824,46.4983770403755
2021-08-08,0419,żniński,69886,33571,48.03680279312022
2021-08-08,0461,Bydgoszcz,344091,194754,56.59956232508261
2021-08-08,0462,Grudziądz,93564,48306,51.62883160189816
2021-08-08,0463,Toruń,198613,112557,56.67151697018825
2021-08-08,0464,Włocławek,108561,53512,49.29210305726735
2021-08-08,0601,bialski,109958,41140,37.414285454446244
2021-08-08,0602,biłgorajski,100333,35386,35.26855570948741
2021-08-08,0603,chełmski,77502,27768,35.828752806379185
2021-08-08,0604,hrubieszowski,62009,26572,42.851844087148635
2021-08-08,0605,janowski,45142,15986,35.41269770945018
2021-08-08,0606,krasnostawski,62552,25628,40.9707123673104
2021-08-08,0607,kraśnicki,94531,35649,37.71143857570532
2021-08-08,0608,lubartowski,87850,30291,34.48036425725668
2021-08-08,0609,lubelski,156493,65430,41.81017681302039
2021-08-08,0610,łęczyński,57218,20651,36.09178929707434
2021-08-08,0611,łukowski,106213,36193,34.07586641936486
2021-08-08,0612,opolski,58706,23568,40.14581133103942
2021-08-08,0613,parczewski,34372,13286,38.6535552193646
2021-08-08,0614,puławski,112384,53885,47.9472166856492
2021-08-08,0615,radzyński,58298,19708,33.80561940375313
2021-08-08,0616,rycki,55530,25220,45.4168917702143
2021-08-08,0617,świdnicki,71432,31868,44.61305857318848
2021-08-08,0618,tomaszowski,81944,32517,39.68197793615152
2021-08-08,0619,włodawski,37989,16481,43.38361104530259
2021-08-08,0620,zamojski,105354,39468,37.46227006093741
2021-08-08,0661,Biała Podlaska,56942,25367,44.54883916968143
2021-08-08,0662,Chełm,61135,28226,46.1699517461356
2021-08-08,0663,Lublin,338586,177052,52.291589138357764
