teryt,municipality,%_vaccinated
0808053,gm.m-w. Świebodzin,53.008
3214033,gm.m-w. Dobrzany,53.0029
2817011,Szczytno,52.9786
3003103,gm.m-w. Witkowo,52.9751
2806011,Giżycko,52.9727
3030043,gm.m-w. Pyzdry,52.9652
1405062,gm.w Żabia Wola,52.9482
0215033,gm.m-w. Jelcz-Laskowice,52.9447
0415042,gm.w Lubicz,52.9305
1414063,gm.m-w. Zakroczym,52.9235
1420021,Raciąż,52.8929
3001043,gm.m-w. Margonin,52.8828
0415062,gm.w Łysomice,52.8628
1434011,Kobyłka,52.8371
0405022,gm.w Ciechocin,52.8354
0801042,gm.w Kłodawa,52.8338
1020092,gm.w Zgierz,52.8334
0804011,Nowa Sól,52.8292
0809063,gm.m-w. Sulechów,52.8184
3020063,gm.m-w. Pleszew,52.8146
3216042,gm.w Rąbino,52.8135
3019032,gm.w Kaczory,52.7972
1212011,Bukowno,52.7967
0405011,Golub-Dobrzyń,52.7876
1006082,gm.w Nowosolna,52.7815
0403043,gm.m-w. Koronowo,52.7728
2410012,gm.w Goczałkowice-Zdrój,52.7691
2819033,gm.m-w. Węgorzewo,52.7641
2408011,Łaziska Górne,52.7519
1201011,Bochnia,52.7374
2408052,gm.w Wyry,52.7326
2206011,Kościerzyna,52.7126
0221063,gm.m-w. Mieroszów,52.6875
2463011,Chorzów,52.6852
1020083,gm.m-w. Stryków,52.6851
2404013,gm.m-w. Blachownia,52.6849
2814112,gm.w Stawiguda,52.6776
0616052,gm.w Stężyca,52.6738
0415011,Chełmża,52.6668
2802011,Braniewo,52.6393
1006022,gm.w Andrespol,52.6176
0418123,gm.m-w. Lubraniec,52.5971
3015032,gm.w Miedzichowo,52.5823
1012011,Radomsko,52.5809
0226021,Złotoryja,52.5568
0411032,gm.w Dobre,52.5491
1203053,gm.m-w. Trzebinia,52.5407
0803053,gm.m-w. Skwierzyna,52.536
3211022,gm.w Kołbaskowo,52.525
2608043,gm.m-w. Pińczów,52.5148
2210052,gm.w Sztutowo,52.5124
1006073,gm.m-w. Koluszki,52.4836
1011033,gm.m-w. Poddębice,52.4819
2409042,gm.w Poraj,52.4764
1208012,gm.w Charsznica,52.4603
3023052,gm.w Powidz,52.4569
0411062,gm.w Radziejów,52.4541
0407022,gm.w Dąbrowa Biskupia,52.4342
3024022,gm.w Duszniki,52.424
2410053,gm.m-w. Pszczyna,52.4147
2602042,gm.w Nagłowice,52.4142
2605012,gm.w Fałków,52.403
3202042,gm.w Krzęcin,52.402
2204062,gm.w Pszczółki,52.3925
2602052,gm.w Oksa,52.3715
3026043,gm.m-w. Śrem,52.3702
1018073,gm.m-w. Wieruszów,52.3618
3005032,gm.w Kamieniec,52.3486
1203043,gm.m-w. Libiąż,52.322
2416032,gm.w Irządze,52.3071
2215011,Reda,52.3009
3215011,Szczecinek,52.2912
1219043,gm.m-w. Niepołomice,52.2741
3010032,gm.w Kazimierz Biskupi,52.253
0811092,gm.w Tuplice,52.2502
3214023,gm.m-w. Chociwel,52.2414
2804093,gm.m-w. Tolkmicko,52.2212
3061011,Kalisz,52.2178
0207033,gm.m-w. Lubawka,52.2167
0217043,gm.m-w. Strzelin,52.2156
3204023,gm.m-w. Goleniów,52.2151
0806013,gm.m-w. Dobiegniew,52.2129
2814042,gm.w Dywity,52.2079
1203022,gm.w Babice,52.2017
2610011,Skarżysko-Kamienna,52.1871
2406013,gm.m-w. Kłobuck,52.1793
3014022,gm.w Kwilcz,52.1719
0407053,gm.m-w. Janikowo,52.1719
3024063,gm.m-w. Pniewy,52.1712
3015023,gm.m-w. Lwówek,52.157
2202011,Chojnice,52.1553
3003053,gm.m-w. Kłecko,52.1464
0408011,Lipno,52.1179
3005043,gm.m-w. Rakoniewice,52.1037
3011032,gm.w Kościan,52.0982
2417022,gm.w Czernichów,52.0937
0209052,gm.w Legnickie Pole,52.089
1416092,gm.w Szulborze Wielkie,52.0859
0419052,gm.w Rogowo,52.0729
1404011,Gostynin,52.0676
3207033,gm.m-w. Kamień Pomorski,52.0644
